voornaam,tussenvoegsel,achternaam,geboortejaar,geslacht,seizoen,uitkomst
Deborah,,,,V,1,0
Petra,,,,V,1,1
Robin,,,,,1,2
Wilmie,,,,V,1,3
Arnoud,,,,M,1,4
Foke,,,,,1,5
Warner,,,,,1,6
John,,,,M,1,7
Willy,,,,,1,8
Sandy,,,,V,1,9
Nico,,,,M,2,0
Sigrid,,,,,2,1
Yvonne,,,,V,2,2
Doortje,,,,V,2,3
Dan,,,,M,2,4
Cor,,,,M,2,5
Nazife,,,,,2,6
Bjorn,,,,M,2,7
Ward,,,,M,2,8
Gerda,,,,V,2,9
George,,,,M,3,0
John,,,,M,3,1
Jantien,,,,V,3,2
Ellen,,,,V,3,3
Harry,,,,M,3,4
Prince,,,,M,3,5
Karen,,,,V,3,6
Kerstin,,,,V,3,7
Dick,,,,M,3,8
Pamela,,,,V,3,9
Erik,,,,M,3,10
Elise,,,,V,4,0
Ron,,,,M,4,1
Chandrika,,,,V,4,2
Rene,,,,M,4,3
Ferdi,,,,,4,4
Patricia,,,,V,4,5
Astrid,,,,V,4,6
Aafke,,,,,4,7
Julien,,,,V,4,8
Louis,,,,M,4,9
Yvon,,Jaspers,1973,V,5,0
Marc-Marie,,Huijbregts,1964,M,5,1
Lottie,,Hellingman,1977,V,5,2
Isabelle,,Brinkman,1972,V,5,3
Sander,de,Heer,1975,M,5,4
Gijs,,Staverman,1966,M,5,5
Jim,de,Groot,1972,M,5,6
Victoria,,Koblenko,1980,V,5,7
Yvonne,van den,Hurk,1959,V,5,8
Roeland,,Fernhout,1972,M,5,9
Milouska,,Meulens,1973,V,6,0
Frederique,,Huydts,1967,V,6,1
Roderick,,Veelo,1964,M,6,2
Peggy,,Vrijens,1976,V,6,3
Toine,van,Peperstraten,1967,M,6,4
Richard,,Groenendijk,1972,M,6,5
Liz,,Snoijink,1955,V,6,6
Mary-Lou,van,Stenis,1963,V,6,7
Chris,,Tates,1962,M,6,8
Geert,,Hoes,1983,M,6,9
Inge,,Ipenburg,1957,V,7,0
Paul,,Rabbering,1979,M,7,1
Renate,,Verbaan,1979,V,7,2
Eva,van der,Gucht,1977,V,7,3
Nadja,,Hupscher,1972,V,7,4
Dick,,Jol,1956,M,7,5
Alex,,Klaasen,1976,M,7,6
Menno,,Bentveld,1967,M,7,7
Liesbeth,,Kamerling,1975,V,7,8
Sander,,Latinga,1976,M,7,9
Dennis,,Weening,1977,M,8,0
Edo,,Brunner,1970,M,8,1
Regina,,Romeijn,1976,V,8,2
Patrick,,Martens,1978,M,8,3
Dunya,,Khayame,1981,,8,4
Joris,,Linssen,1966,M,8,5
Coen,,Swijnenberg,1980,M,8,6
Georgina,,Verbaan,1979,V,8,7
Annette,van,Trigt,1956,V,8,8
Nicolette,,Kluijver,1984,V,8,9
Jon,van,Eerd,1960,M,9,0
Vivienne,van den,Assem,1983,V,9,1
Anniek,,Pheifer,1977,V,9,2
Dennis,,Storm,1985,M,9,3
Rick,,Engelkes,1959,M,9,4
Sebastiaan,,Labrie,1971,M,9,5
Froukje,,Jansen,1976,V,9,6
Paula,,Udondek,1967,V,9,7
Hans,,Schiffers,1960,M,9,8
Vera,,Mann,1963,V,9,9
Kim,,Pieters,1979,V,10,0
Frits,,Sissing,1963,M,10,1
Sanne,,Vogel,1984,V,10,2
Erik,van der,Hoff,1963,M,10,3
Arjen,,Lubach,1979,M,10,4
Hind,,Laroussi,1984,V,10,5
Barbara,,Barend,1974,V,10,6
Manuel,,Venderbos,1976,M,10,7
